JMtest2
1.000000	0.000000
0.992366	-0.003609
0.977099	-0.004227
0.961832	-0.003826
0.931298	-0.000741
0.900763	0.003869
0.870229	0.008159
0.839695	0.012040
0.809160	0.015557
0.778626	0.018742
0.748092	0.021587
0.717557	0.024084
0.687023	0.026233
0.656489	0.028038
0.625954	0.029501
0.595420	0.030621
0.564885	0.031401
0.534351	0.031841
0.503817	0.031943
0.473282	0.031708
0.442748	0.031137
0.412214	0.030229
0.381679	0.028982
0.351145	0.027395
0.320611	0.025475
0.290076	0.023230
0.259542	0.020658
0.229008	0.017759
0.198473	0.014554
0.167939	0.011037
0.137405	0.007128
0.106870	0.002668
0.106450        0.000056
0.000000	0.000000
0.061069	0.037322
0.091603	0.051010
0.122137	0.063663
0.152672	0.075241
0.183206	0.085857
0.213740	0.095553
0.244275	0.104307
0.274809	0.112099
0.305344	0.118922
0.335878	0.124781
0.366412	0.129674
0.396947	0.133587
0.427481	0.136499
0.458015	0.138401
0.488550	0.139288
0.519084	0.139153
0.534351	0.138700
0.549618	0.137988
0.564885	0.137016
0.580153	0.135783
0.595420	0.134289
0.610687	0.132531
0.625954	0.130508
0.641221	0.128218
0.656489	0.125659
0.671756	0.122830
0.687023	0.119732
0.702290	0.116363
0.717557	0.112722
0.732824	0.108809
0.748092	0.104621
0.763359	0.100157
0.778626	0.095413
0.793893	0.090387
0.809160	0.085078
0.824427	0.079485
0.839695	0.073610
0.854962	0.067454
0.870229	0.061016
0.885496	0.054292
0.900763	0.047276
0.916031	0.039964
0.931298	0.032896
0.946565	0.027215
0.961832	0.021321
0.977099	0.015031
0.999999	0.000000


